INFRACCIONES,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
    6. SEGURIDAD COLECTIVA,7463.0,6933.0,7696.0,6607.0,5830.0,5913.0,6081.0,7092.0,7690.0,7649.0,7342.0,7563.0,
    6.1.-Tráfico de drogas,2502.0,2470.0,2577.0,1955.0,1608.0,1463.0,1441.0,1599.0,1737.0,1943.0,2112.0,2876.0,
    6.2.-Contra la seguridad vial,4759.0,4270.0,4873.0,4278.0,3966.0,4227.0,4373.0,5207.0,5688.0,5448.0,4976.0,4473.0,
    6.3.-Otros contra la seguridad colectiva,202.0,193.0,246.0,374.0,256.0,223.0,267.0,286.0,265.0,258.0,254.0,214.0,
    7. FALSEDADES,6857.0,4584.0,4042.0,3445.0,3257.0,2931.0,3371.0,3170.0,2823.0,2996.0,3737.0,3370.0,
    8. ADMÓN. PÚBLICA,60.0,35.0,55.0,87.0,37.0,78.0,57.0,32.0,24.0,37.0,28.0,46.0,
    9. ADMÓN. JUSTICIA,5006.0,4481.0,4671.0,4464.0,4319.0,4029.0,3587.0,3505.0,3553.0,4013.0,4387.0,3802.0,
    10. ORDEN PÚBLICO,5747.0,5673.0,4428.0,3754.0,3824.0,3793.0,4178.0,4930.0,5168.0,5528.0,5948.0,5136.0,
    11. LEGISLACIÓN ESPECIAL,22.0,9.0,24.0,10.0,15.0,10.0,19.0,9.0,10.0,17.0,15.0,2.0,
    12. OTRAS INFRACCIONES PENALES,848.0,871.0,1004.0,1012.0,852.0,1010.0,1469.0,1038.0,985.0,754.0,729.0,673.0,
    TOTAL INFRACCIONES PENALES,345987.0,310194.0,407736.0,389914.0,381242.0,373402.0,365006.0,365599.0,379114.0,393872.0,393029.0,401871.0,
Málaga,
    1. CONTRA LAS PERSONAS,8739.0,7695.0,8608.0,8225.0,8017.0,7634.0,9763.0,12002.0,12207.0,12981.0,13507.0,12983.0,
    1.1.-Homicidios dolosos/asesinatos,63.0,49.0,47.0,71.0,49.0,64.0,40.0,46.0,50.0,50.0,67.0,65.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,15.0,8.0,25.0,21.0,9.0,19.0,17.0,18.0,18.0,17.0,18.0,15.0,
    1.2.-Lesiones,4319.0,3606.0,4292.0,4084.0,3996.0,3835.0,3483.0,3742.0,3868.0,4235.0,4441.0,4607.0,
    1.3.-Malos tratos ámbito familiar,4211.0,3932.0,4113.0,3914.0,3839.0,3654.0,3876.0,3726.0,3619.0,3611.0,3702.0,3432.0,
    1.4.-Otros contra las personas,146.0,108.0,156.0,156.0,133.0,81.0,2364.0,4488.0,4670.0,5085.0,5297.0,4879.0,
    2. CONTRA LA LIBERTAD,5646.0,5159.0,4883.0,4805.0,4521.0,4373.0,2478.0,1286.0,1285.0,1202.0,1327.0,1261.0,
    2.1.-Malos tratos habituales en el ámbito familiar,386.0,422.0,440.0,381.0,372.0,283.0,256.0,311.0,298.0,219.0,254.0,232.0,
    2.2.-Otros contra la libertad,5260.0,4737.0,4443.0,4424.0,4149.0,4090.0,2222.0,975.0,987.0,983.0,1073.0,1029.0,
    3. LIBERTAD SEXUAL,577.0,458.0,560.0,549.0,483.0,435.0,385.0,358.0,462.0,365.0,403.0,392.0,
    3.1.-Agresión sexual,83.0,57.0,77.0,101.0,76.0,81.0,65.0,67.0,103.0,81.0,94.0,80.0,
    3.2.-Agresión sexual con penetración,49.0,58.0,42.0,36.0,48.0,37.0,53.0,39.0,50.0,40.0,48.0,40.0,
    3.3.-Corrupción de menores o incapacitados,20.0,14.0,23.0,13.0,19.0,17.0,28.0,15.0,37.0,16.0,16.0,20.0,
    3.4.-Pornografía de menores,28.0,28.0,36.0,37.0,34.0,13.0,37.0,24.0,21.0,18.0,25.0,20.0,
    3.5.-Otros contra la libertad e indemnidad sexual,397.0,301.0,382.0,362.0,306.0,287.0,202.0,213.0,251.0,210.0,220.0,232.0,
    4. RELACIONES FAMILIARES,363.0,343.0,298.0,288.0,311.0,294.0,380.0,383.0,350.0,352.0,318.0,296.0,
    5. PATRIMONIO,52840.0,45821.0,58835.0,58876.0,57651.0,59197.0,57075.0,57103.0,67092.0,74084.0,78489.0,82661.0,
    5.1.-Hurtos,18720.0,15265.0,24513.0,25261.0,27114.0,29458.0,28750.0,28416.0,34000.0,37676.0,39053.0,41412.0,
    5.2.-Robos con fuerza en las cosas,8461.0,7688.0,9662.0,9748.0,10683.0,11241.0,10662.0,11304.0,13731.0,15126.0,16943.0,18397.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,3552.0,2584.0,3325.0,3597.0,4125.0,4345.0,4235.0,4254.0,5300.0,6317.0,7147.0,6750.0,
    5.2.2.-Robos con fuerza en viviendas,2933.0,3007.0,4047.0,3863.0,4096.0,4316.0,3768.0,4198.0,5073.0,5173.0,4599.0,5793.0,
    5.2.3.-Robos con fuerza en establecimientos,1042.0,1114.0,1232.0,1229.0,1358.0,1376.0,1410.0,1409.0,1649.0,1518.0,1632.0,2177.0,
    5.3.-Robos con violencia o intimidación,1388.0,1119.0,1599.0,1477.0,1523.0,1594.0,1535.0,1758.0,2222.0,2644.0,2762.0,2799.0,
    5.3.1.-Robos con violencia en vía pública,893.0,711.0,1028.0,958.0,1035.0,1102.0,1044.0,1200.0,1525.0,1836.0,1865.0,1934.0,
    5.3.2.-Robos con violencia en viviendas,146.0,101.0,146.0,119.0,116.0,124.0,113.0,152.0,173.0,189.0,142.0,191.0,
    5.3.3.-Robos con violencia en establecimientos,213.0,212.0,264.0,223.0,212.0,189.0,211.0,245.0,354.0,370.0,322.0,446.0,
    5.4.-Sustracción de vehículos,1493.0,1293.0,1757.0,1945.0,2252.0,2244.0,2522.0,2236.0,2484.0,3127.0,3533.0,4104.0,
    5.5.-Estafas,12597.0,11560.0,10806.0,9734.0,5752.0,5209.0,4859.0,4367.0,4425.0,4634.0,4780.0,4102.0,
    5.5.1.-Estafas informáticas,7471.0,8064.0,5565.0,2738.0,1676.0,1238.0,1098.0,936.0,838.0,768.0,686.0,745.0,
    5.6.-Daños,7862.0,6823.0,8244.0,8187.0,8102.0,7747.0,7010.0,7201.0,8311.0,9434.0,10037.0,10481.0,
    5.7.-Contra la propiedad intelectual/industrial,87.0,133.0,240.0,303.0,230.0,255.0,177.0,340.0,500.0,223.0,230.0,399.0,
    5.8.-Blanqueo de capitales,33.0,24.0,23.0,25.0,16.0,18.0,28.0,31.0,33.0,24.0,24.0,20.0,
    5.9.-Otros contra el patrimonio,2199.0,1916.0,1991.0,2196.0,1979.0,1431.0,1532.0,1450.0,1386.0,1196.0,1127.0,947.0,
    6. SEGURIDAD COLECTIVA,3201.0,2821.0,3052.0,2846.0,2804.0,2959.0,2763.0,3108.0,3381.0,3607.0,3827.0,2939.0,
    6.1.-Tráfico de drogas,1078.0,1045.0,1006.0,924.0,934.0,831.0,776.0,808.0,789.0,747.0,803.0,716.0,
    6.2.-Contra la seguridad vial,2024.0,1683.0,1964.0,1868.0,1799.0,2066.0,1927.0,2216.0,2512.0,2767.0,2924.0,2067.0,
    6.3.-Otros contra la seguridad colectiva,99.0,93.0,82.0,54.0,71.0,62.0,60.0,84.0,80.0,93.0,100.0,156.0,
    7. FALSEDADES,1612.0,1085.0,1057.0,979.0,871.0,936.0,839.0,771.0,896.0,1018.0,1061.0,1002.0,
    8. ADMÓN. PÚBLICA,13.0,8.0,13.0,16.0,15.0,16.0,35.0,32.0,28.0,19.0,20.0,21.0,
    9. ADMÓN. JUSTICIA,1379.0,1395.0,1363.0,1359.0,1396.0,1245.0,1314.0,1367.0,1381.0,1514.0,1621.0,1333.0,
    10. ORDEN PÚBLICO,1203.0,1235.0,969.0,890.0,830.0,782.0,926.0,1268.0,1280.0,1307.0,1507.0,1503.0,
    11. LEGISLACIÓN ESPECIAL,20.0,32.0,23.0,5.0,3.0,10.0,7.0,5.0,4.0,8.0,7.0,5.0,
    12. OTRAS INFRACCIONES PENALES,456.0,399.0,396.0,387.0,378.0,351.0,350.0,393.0,304.0,310.0,286.0,313.0,
    TOTAL INFRACCIONES PENALES,76049.0,66451.0,80057.0,79225.0,77280.0,78232.0,76315.0,78076.0,88670.0,96767.0,102373.0,104709.0,
Murcia,
    1. CONTRA LAS PERSONAS,6658.0,5597.0,6237.0,6010.0,6033.0,5768.0,7534.0,8920.0,8457.0,9550.0,10017.0,9882.0,
    1.1.-Homicidios dolosos/asesinatos,60.0,51.0,39.0,36.0,45.0,34.0,37.0,33.0,26.0,36.0,39.0,43.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,14.0,10.0,13.0,11.0,14.0,12.0,12.0,8.0,5.0,10.0,10.0,15.0,
    1.2.-Lesiones,3484.0,2966.0,3449.0,3333.0,3379.0,3185.0,3241.0,3289.0,3209.0,3545.0,3727.0,3953.0,
    1.3.-Malos tratos ámbito familiar,3030.0,2504.0,2678.0,2580.0,2566.0,2510.0,2516.0,2400.0,2319.0,2415.0,2478.0,2391.0,
    1.4.-Otros contra las personas,84.0,76.0,71.0,61.0,43.0,39.0,1740.0,3198.0,2903.0,3554.0,3773.0,3495.0,
    2. CONTRA LA LIBERTAD,4415.0,4019.0,3741.0,3414.0,3312.0,3032.0,2122.0,1169.0,1128.0,1191.0,1294.0,1169.0,
    2.1.-Malos tratos habituales en el ámbito familiar,354.0,378.0,364.0,337.0,317.0,318.0,329.0,301.0,306.0,313.0,389.0,428.0,
    2.2.-Otros contra la libertad,4061.0,3641.0,3377.0,3077.0,2995.0,2714.0,1793.0,868.0,822.0,878.0,905.0,741.0,
    3. LIBERTAD SEXUAL,613.0,505.0,535.0,478.0,391.0,379.0,368.0,377.0,288.0,285.0,316.0,288.0,
    3.1.-Agresión sexual,101.0,79.0,76.0,87.0,59.0,69.0,58.0,55.0,58.0,57.0,72.0,70.0,
    3.2.-Agresión sexual con penetración,61.0,64.0,48.0,46.0,41.0,33.0,42.0,39.0,41.0,44.0,49.0,49.0,
    3.3.-Corrupción de menores o incapacitados,16.0,14.0,18.0,15.0,7.0,14.0,17.0,18.0,4.0,7.0,3.0,14.0,
    3.4.-Pornografía de menores,27.0,32.0,27.0,14.0,18.0,16.0,22.0,14.0,10.0,10.0,14.0,9.0,
    3.5.-Otros contra la libertad e indemnidad sexual,408.0,316.0,366.0,316.0,266.0,247.0,229.0,251.0,175.0,167.0,178.0,146.0,
    4. RELACIONES FAMILIARES,615.0,534.0,552.0,588.0,570.0,535.0,581.0,573.0,493.0,571.0,505.0,490.0,
    5. PATRIMONIO,40153.0,35539.0,41700.0,40812.0,38611.0,38128.0,39276.0,37824.0,40564.0,41734.0,41304.0,41988.0,
    5.1.-Hurtos,11925.0,9925.0,15138.0,14888.0,15261.0,15735.0,16697.0,15551.0,17166.0,17034.0,16390.0,16128.0,
    5.2.-Robos con fuerza en las cosas,9127.0,8287.0,10780.0,11206.0,11571.0,11120.0,11376.0,11745.0,12637.0,12954.0,13165.0,13907.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2940.0,2352.0,2902.0,2805.0,3223.0,3099.0,2885.0,2635.0,2898.0,3030.0,3883.0,2365.0,
    5.2.2.-Robos con fuerza en viviendas,3793.0,3796.0,5017.0,5662.0,5826.0,5370.0,5068.0,5429.0,5878.0,5534.0,4228.0,4972.0,
    5.2.3.-Robos con fuerza en establecimientos,1028.0,859.0,1096.0,1073.0,1105.0,1173.0,1319.0,1616.0,1372.0,1668.0,1454.0,1433.0,
    5.3.-Robos con violencia o intimidación,1375.0,1207.0,1536.0,1444.0,1458.0,1495.0,1480.0,1433.0,1690.0,1787.0,1723.0,1581.0,
    5.3.1.-Robos con violencia en vía pública,809.0,742.0,917.0,968.0,938.0,962.0,925.0,930.0,1073.0,1181.0,946.0,1079.0,
    5.3.2.-Robos con violencia en viviendas,112.0,123.0,124.0,109.0,131.0,123.0,139.0,157.0,150.0,148.0,121.0,101.0,
    5.3.3.-Robos con violencia en establecimientos,236.0,176.0,258.0,191.0,197.0,189.0,204.0,193.0,246.0,210.0,248.0,250.0,
    5.4.-Sustracción de vehículos,666.0,726.0,909.0,951.0,1293.0,1352.0,1332.0,1224.0,1422.0,1582.0,1747.0,2393.0,
    5.5.-Estafas,9622.0,8810.0,6655.0,5948.0,3245.0,2846.0,2543.0,2236.0,2046.0,2315.0,1913.0,1483.0,
    5.5.1.-Estafas informáticas,6754.0,5887.0,3358.0,2034.0,1183.0,885.0,718.0,581.0,428.0,482.0,306.0,297.0,
    5.6.-Daños,5447.0,4733.0,4813.0,4848.0,4783.0,4715.0,4661.0,4668.0,4730.0,5202.0,5622.0,5869.0,
    5.7.-Contra la propiedad intelectual/industrial,45.0,50.0,43.0,52.0,55.0,46.0,61.0,44.0,69.0,50.0,58.0,143.0,
    5.8.-Blanqueo de capitales,15.0,13.0,8.0,4.0,5.0,6.0,7.0,1.0,8.0,3.0,5.0,7.0,
    5.9.-Otros contra el patrimonio,1931.0,1788.0,1818.0,1471.0,940.0,813.0,1119.0,922.0,796.0,807.0,681.0,477.0,
    6. SEGURIDAD COLECTIVA,1497.0,1308.0,1664.0,1502.0,1392.0,1261.0,1411.0,1534.0,1666.0,1684.0,1748.0,1579.0,
    6.1.-Tráfico de drogas,506.0,389.0,360.0,287.0,293.0,264.0,248.0,239.0,317.0,312.0,305.0,314.0,
    6.2.-Contra la seguridad vial,935.0,865.0,1244.0,1143.0,1036.0,930.0,1116.0,1255.0,1301.0,1330.0,1375.0,1201.0,
    6.3.-Otros contra la seguridad colectiva,56.0,54.0,60.0,72.0,63.0,67.0,47.0,40.0,48.0,42.0,68.0,64.0,
    7. FALSEDADES,1336.0,929.0,708.0,679.0,540.0,466.0,532.0,469.0,405.0,542.0,620.0,485.0,
    8. ADMÓN. PÚBLICA,28.0,25.0,14.0,16.0,23.0,10.0,5.0,6.0,8.0,9.0,3.0,10.0,
    9. ADMÓN. JUSTICIA,1250.0,1159.0,1040.0,1009.0,893.0,894.0,810.0,884.0,783.0,971.0,931.0,882.0,
    10. ORDEN PÚBLICO,816.0,900.0,564.0,570.0,550.0,534.0,492.0,677.0,673.0,722.0,898.0,822.0,
    11. LEGISLACIÓN ESPECIAL,10.0,14.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,
    12. OTRAS INFRACCIONES PENALES,583.0,440.0,343.0,318.0,373.0,302.0,242.0,222.0,158.0,188.0,245.0,173.0,
    TOTAL INFRACCIONES PENALES,57974.0,50969.0,57099.0,55398.0,52690.0,51309.0,53374.0,52655.0,54624.0,57449.0,57882.0,57769.0,
Navarra,
    1. CONTRA LAS PERSONAS,2470.0,2109.0,2693.0,2589.0,2427.0,2352.0,2945.0,4294.0,3712.0,2563.0,2961.0,2726.0,
    1.1.-Homicidios dolosos/asesinatos,23.0,23.0,18.0,25.0,28.0,7.0,15.0,15.0,15.0,10.0,16.0,13.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,2.0,1.0,5.0,10.0,7.0,1.0,3.0,1.0,4.0,2.0,5.0,3.0,
    1.2.-Lesiones,1448.0,1108.0,1638.0,1506.0,1409.0,1382.0,1299.0,1484.0,1321.0,928.0,1040.0,973.0,
    1.3.-Malos tratos ámbito familiar,936.0,933.0,1001.0,1016.0,956.0,929.0,759.0,823.0,660.0,444.0,456.0,541.0,
    1.4.-Otros contra las personas,63.0,45.0,36.0,42.0,34.0,34.0,872.0,1972.0,1716.0,1181.0,1449.0,1199.0,
    2. CONTRA LA LIBERTAD,2060.0,1712.0,1799.0,1681.0,1677.0,1812.0,977.0,523.0,748.0,974.0,711.0,675.0,
    2.1.-Malos tratos habituales en el ámbito familiar,150.0,143.0,151.0,111.0,128.0,119.0,137.0,113.0,118.0,176.0,146.0,119.0,
    2.2.-Otros contra la libertad,1910.0,1569.0,1648.0,1570.0,1549.0,1693.0,840.0,410.0,630.0,798.0,565.0,556.0,
    3. LIBERTAD SEXUAL,264.0,241.0,232.0,271.0,232.0,219.0,139.0,160.0,119.0,111.0,113.0,130.0,
    3.1.-Agresión sexual,40.0,28.0,28.0,40.0,31.0,39.0,28.0,30.0,26.0,21.0,29.0,44.0,
    3.2.-Agresión sexual con penetración,40.0,18.0,28.0,36.0,29.0,40.0,20.0,22.0,11.0,10.0,16.0,10.0,
    3.3.-Corrupción de menores o incapacitados,17.0,15.0,8.0,7.0,19.0,18.0,9.0,4.0,13.0,14.0,6.0,6.0,
    3.4.-Pornografía de menores,8.0,13.0,7.0,12.0,10.0,6.0,8.0,5.0,1.0,3.0,7.0,8.0,
    3.5.-Otros contra la libertad e indemnidad sexual,159.0,167.0,161.0,176.0,143.0,116.0,74.0,99.0,68.0,63.0,55.0,62.0,
    4. RELACIONES FAMILIARES,100.0,96.0,74.0,73.0,94.0,89.0,122.0,97.0,119.0,87.0,105.0,82.0,
    5. PATRIMONIO,18724.0,16861.0,21485.0,19908.0,18463.0,18875.0,17511.0,19231.0,17447.0,15738.0,14576.0,13770.0,
    5.1.-Hurtos,5523.0,4469.0,8538.0,7741.0,7572.0,8259.0,7845.0,8954.0,8231.0,6661.0,6124.0,5834.0,
    5.2.-Robos con fuerza en las cosas,2358.0,2202.0,2912.0,3093.0,2877.0,3253.0,2833.0,3505.0,3310.0,3733.0,3667.0,3570.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,510.0,635.0,744.0,819.0,664.0,927.0,617.0,691.0,741.0,719.0,690.0,492.0,
    5.2.2.-Robos con fuerza en viviendas,824.0,666.0,1006.0,987.0,955.0,1029.0,967.0,1133.0,1058.0,1176.0,868.0,854.0,
    5.2.3.-Robos con fuerza en establecimientos,399.0,388.0,458.0,476.0,504.0,440.0,342.0,520.0,473.0,545.0,601.0,626.0,
    5.3.-Robos con violencia o intimidación,298.0,226.0,331.0,255.0,432.0,424.0,351.0,309.0,354.0,313.0,175.0,218.0,
    5.3.1.-Robos con violencia en vía pública,200.0,151.0,232.0,173.0,299.0,302.0,203.0,203.0,219.0,178.0,95.0,117.0,
    5.3.2.-Robos con violencia en viviendas,16.0,17.0,17.0,20.0,24.0,23.0,27.0,23.0,23.0,31.0,10.0,15.0,
    5.3.3.-Robos con violencia en establecimientos,43.0,32.0,54.0,44.0,57.0,44.0,68.0,48.0,60.0,56.0,32.0,46.0,
    5.4.-Sustracción de vehículos,122.0,131.0,183.0,173.0,169.0,214.0,186.0,244.0,268.0,187.0,216.0,207.0,
    5.5.-Estafas,5994.0,6365.0,5434.0,4649.0,3526.0,2933.0,2632.0,2064.0,1539.0,1564.0,1261.0,1138.0,
    5.5.1.-Estafas informáticas,3673.0,3903.0,2734.0,2126.0,1728.0,1424.0,1285.0,792.0,612.0,512.0,310.0,280.0,
    5.6.-Daños,3667.0,2841.0,3401.0,3303.0,3321.0,3238.0,3158.0,3532.0,3218.0,2920.0,2874.0,2537.0,
    5.7.-Contra la propiedad intelectual/industrial,8.0,9.0,27.0,38.0,13.0,29.0,33.0,54.0,70.0,8.0,4.0,10.0,
    5.8.-Blanqueo de capitales,10.0,6.0,4.0,2.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,
    5.9.-Otros contra el patrimonio,744.0,612.0,655.0,654.0,550.0,522.0,470.0,568.0,457.0,353.0,255.0,255.0,
    6. SEGURIDAD COLECTIVA,1370.0,1162.0,1583.0,1495.0,845.0,921.0,990.0,949.0,647.0,1022.0,1194.0,1059.0,
    6.1.-Tráfico de drogas,147.0,146.0,159.0,140.0,134.0,200.0,146.0,196.0,137.0,105.0,146.0,131.0,
    6.2.-Contra la seguridad vial,1187.0,976.0,1369.0,1277.0,669.0,691.0,791.0,711.0,489.0,894.0,1025.0,878.0,
    6.3.-Otros contra la seguridad colectiva,36.0,40.0,55.0,78.0,42.0,30.0,53.0,42.0,21.0,23.0,23.0,50.0,
    7. FALSEDADES,693.0,435.0,374.0,340.0,269.0,515.0,245.0,294.0,227.0,226.0,264.0,259.0,
    8. ADMÓN. PÚBLICA,16.0,18.0,10.0,17.0,25.0,10.0,15.0,12.0,23.0,13.0,21.0,21.0,
    9. ADMÓN. JUSTICIA,390.0,387.0,415.0,407.0,327.0,341.0,321.0,261.0,198.0,234.0,230.0,235.0,
    10. ORDEN PÚBLICO,452.0,428.0,365.0,306.0,294.0,340.0,453.0,627.0,510.0,431.0,357.0,324.0,
    11. LEGISLACIÓN ESPECIAL,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,8.0,3.0,
    12. OTRAS INFRACCIONES PENALES,180.0,147.0,140.0,181.0,174.0,230.0,211.0,109.0,160.0,235.0,240.0,190.0,
    TOTAL INFRACCIONES PENALES,26719.0,23596.0,29170.0,27269.0,24827.0,25704.0,23932.0,26558.0,23911.0,21635.0,20780.0,19474.0,
Ourense,
    1. CONTRA LAS PERSONAS,845.0,736.0,791.0,830.0,795.0,828.0,1094.0,1291.0,1460.0,1352.0,1441.0,1441.0,
    1.1.-Homicidios dolosos/asesinatos,10.0,6.0,4.0,8.0,4.0,2.0,6.0,4.0,9.0,5.0,9.0,5.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,4.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,
    1.2.-Lesiones,496.0,394.0,449.0,486.0,456.0,474.0,467.0,473.0,545.0,511.0,575.0,545.0,
    1.3.-Malos tratos ámbito familiar,330.0,328.0,333.0,330.0,326.0,346.0,335.0,309.0,308.0,237.0,272.0,305.0,
    1.4.-Otros contra las personas,9.0,8.0,5.0,6.0,9.0,6.0,286.0,505.0,598.0,599.0,585.0,586.0,
    2. CONTRA LA LIBERTAD,688.0,637.0,552.0,532.0,570.0,509.0,367.0,149.0,149.0,183.0,134.0,138.0,
    2.1.-Malos tratos habituales en el ámbito familiar,75.0,67.0,92.0,93.0,92.0,77.0,74.0,72.0,65.0,84.0,60.0,74.0,
    2.2.-Otros contra la libertad,613.0,570.0,460.0,439.0,478.0,432.0,293.0,77.0,84.0,99.0,74.0,64.0,
    3. LIBERTAD SEXUAL,73.0,53.0,52.0,72.0,46.0,18.0,40.0,36.0,35.0,38.0,46.0,42.0,
    3.1.-Agresión sexual,5.0,6.0,3.0,11.0,8.0,4.0,8.0,4.0,9.0,4.0,12.0,8.0,
    3.2.-Agresión sexual con penetración,10.0,5.0,9.0,7.0,5.0,1.0,8.0,6.0,9.0,5.0,4.0,12.0,
    3.3.-Corrupción de menores o incapacitados,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,
    3.4.-Pornografía de menores,7.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,
    3.5.-Otros contra la libertad e indemnidad sexual,51.0,38.0,39.0,52.0,29.0,12.0,22.0,23.0,14.0,27.0,26.0,18.0,
    4. RELACIONES FAMILIARES,16.0,15.0,10.0,17.0,26.0,10.0,13.0,9.0,10.0,15.0,16.0,25.0,
    5. PATRIMONIO,5965.0,4871.0,5662.0,5240.0,4763.0,5148.0,5121.0,5635.0,6435.0,5945.0,4820.0,4450.0,
    5.1.-Hurtos,1244.0,1146.0,1735.0,1650.0,1905.0,2078.0,2217.0,2664.0,2932.0,2516.0,1968.0,1782.0,
    5.2.-Robos con fuerza en las cosas,787.0,816.0,857.0,922.0,890.0,1227.0,1112.0,1350.0,1656.0,1512.0,1206.0,1092.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,150.0,164.0,156.0,200.0,145.0,265.0,216.0,302.0,288.0,380.0,344.0,260.0,
    5.2.2.-Robos con fuerza en viviendas,319.0,257.0,336.0,349.0,367.0,439.0,430.0,405.0,639.0,475.0,263.0,253.0,
    5.2.3.-Robos con fuerza en establecimientos,117.0,219.0,175.0,157.0,152.0,261.0,234.0,361.0,323.0,301.0,203.0,263.0,
    5.3.-Robos con violencia o intimidación,98.0,100.0,87.0,93.0,106.0,107.0,125.0,133.0,143.0,190.0,101.0,120.0,
    5.3.1.-Robos con violencia en vía pública,50.0,49.0,42.0,48.0,45.0,55.0,75.0,64.0,79.0,118.0,54.0,80.0,
    5.3.2.-Robos con violencia en viviendas,11.0,14.0,11.0,13.0,12.0,11.0,20.0,24.0,18.0,19.0,6.0,12.0,
    5.3.3.-Robos con violencia en establecimientos,23.0,32.0,24.0,19.0,33.0,31.0,20.0,31.0,34.0,36.0,25.0,18.0,
    5.4.-Sustracción de vehículos,39.0,42.0,41.0,58.0,82.0,93.0,112.0,115.0,111.0,136.0,166.0,199.0,
    5.5.-Estafas,2831.0,1876.0,1909.0,1484.0,872.0,718.0,616.0,416.0,371.0,370.0,278.0,246.0,
    5.5.1.-Estafas informáticas,2000.0,1308.0,975.0,496.0,299.0,252.0,244.0,163.0,146.0,149.0,96.0,68.0,
    5.6.-Daños,761.0,718.0,852.0,841.0,780.0,828.0,827.0,861.0,1130.0,1109.0,1008.0,936.0,
    5.7.-Contra la propiedad intelectual/industrial,1.0,7.0,15.0,19.0,4.0,7.0,4.0,5.0,12.0,10.0,8.0,22.0,
    5.8.-Blanqueo de capitales,0.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,
    5.9.-Otros contra el patrimonio,204.0,165.0,165.0,172.0,121.0,89.0,106.0,91.0,80.0,102.0,85.0,53.0,
    6. SEGURIDAD COLECTIVA,468.0,584.0,661.0,632.0,607.0,511.0,597.0,704.0,783.0,978.0,1144.0,875.0,
    6.1.-Tráfico de drogas,40.0,49.0,53.0,44.0,40.0,30.0,29.0,38.0,47.0,33.0,57.0,38.0,
    6.2.-Contra la seguridad vial,400.0,488.0,558.0,552.0,514.0,448.0,532.0,642.0,708.0,904.0,1054.0,816.0,
    6.3.-Otros contra la seguridad colectiva,28.0,47.0,50.0,36.0,53.0,33.0,36.0,24.0,28.0,41.0,33.0,21.0,
    7. FALSEDADES,171.0,125.0,98.0,107.0,93.0,80.0,81.0,63.0,62.0,57.0,58.0,54.0,
    8. ADMÓN. PÚBLICA,2.0,1.0,2.0,4.0,3.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,
    9. ADMÓN. JUSTICIA,228.0,223.0,220.0,200.0,193.0,168.0,147.0,142.0,127.0,105.0,121.0,109.0,
    10. ORDEN PÚBLICO,94.0,132.0,80.0,102.0,85.0,84.0,85.0,127.0,116.0,146.0,184.0,167.0,
    11. LEGISLACIÓN ESPECIAL,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
    12. OTRAS INFRACCIONES PENALES,85.0,56.0,50.0,56.0,41.0,67.0,37.0,17.0,22.0,20.0,18.0,12.0,
    TOTAL INFRACCIONES PENALES,8635.0,7435.0,8179.0,7792.0,7222.0,7423.0,7588.0,8175.0,9199.0,8841.0,7984.0,7314.0,
Asturias,
    1. CONTRA LAS PERSONAS,3208.0,3038.0,3368.0,3159.0,3160.0,3239.0,4238.0,5429.0,5617.0,5677.0,6256.0,6171.0,
    1.1.-Homicidios dolosos/asesinatos,9.0,14.0,18.0,18.0,16.0,22.0,18.0,27.0,17.0,15.0,22.0,37.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,5.0,7.0,7.0,5.0,6.0,4.0,7.0,8.0,6.0,9.0,19.0,
    1.2.-Lesiones,1743.0,1589.0,1947.0,1844.0,1906.0,1989.0,1935.0,1951.0,2102.0,2200.0,2416.0,2315.0,
    1.3.-Malos tratos ámbito familiar,1393.0,1381.0,1344.0,1246.0,1189.0,1179.0,1175.0,1213.0,1215.0,1280.0,1469.0,1342.0,
    1.4.-Otros contra las personas,63.0,54.0,59.0,51.0,49.0,49.0,1110.0,2238.0,2283.0,2182.0,2349.0,2477.0,
    2. CONTRA LA LIBERTAD,1946.0,1892.0,1872.0,1751.0,1842.0,1824.0,1155.0,494.0,513.0,539.0,532.0,660.0,
