INFRACCIONES,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
    3.5.-Otros contra la libertad e indemnidad sexual,65.0,63.0,62.0,82.0,55.0,27.0,31.0,31.0,25.0,20.0,24.0,28.0,
    4. RELACIONES FAMILIARES,23.0,16.0,25.0,28.0,24.0,26.0,29.0,41.0,49.0,22.0,24.0,13.0,
    5. PATRIMONIO,8032.0,7544.0,9980.0,9693.0,9243.0,9042.0,9372.0,9224.0,9915.0,10402.0,11160.0,11500.0,
    5.1.-Hurtos,2918.0,2410.0,4036.0,4314.0,4565.0,4745.0,4780.0,4628.0,4978.0,4958.0,5520.0,5511.0,
    5.2.-Robos con fuerza en las cosas,892.0,755.0,1367.0,1198.0,1252.0,1206.0,1518.0,1879.0,2120.0,2184.0,2574.0,3271.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,4.0,6.0,9.0,4.0,2.0,9.0,4.0,8.0,9.0,5.0,12.0,11.0,
    5.2.2.-Robos con fuerza en viviendas,354.0,264.0,558.0,492.0,513.0,351.0,486.0,621.0,635.0,618.0,497.0,840.0,
    5.2.3.-Robos con fuerza en establecimientos,189.0,180.0,262.0,197.0,236.0,281.0,271.0,346.0,341.0,280.0,320.0,300.0,
    5.3.-Robos con violencia o intimidación,120.0,103.0,141.0,180.0,144.0,198.0,205.0,233.0,262.0,422.0,506.0,432.0,
    5.3.1.-Robos con violencia en vía pública,81.0,64.0,97.0,118.0,93.0,141.0,153.0,161.0,164.0,322.0,342.0,308.0,
    5.3.2.-Robos con violencia en viviendas,10.0,6.0,8.0,15.0,14.0,11.0,13.0,13.0,28.0,36.0,74.0,28.0,
    5.3.3.-Robos con violencia en establecimientos,20.0,26.0,22.0,30.0,27.0,34.0,24.0,32.0,50.0,37.0,62.0,67.0,
    5.4.-Sustracción de vehículos,65.0,47.0,70.0,85.0,64.0,104.0,83.0,63.0,75.0,85.0,103.0,110.0,
    5.5.-Estafas,2635.0,3019.0,2801.0,2463.0,1779.0,1368.0,1284.0,1036.0,1001.0,1023.0,695.0,342.0,
    5.5.1.-Estafas informáticas,100.0,93.0,75.0,56.0,45.0,36.0,27.0,29.0,56.0,35.0,17.0,22.0,
    5.6.-Daños,1127.0,967.0,1347.0,1231.0,1288.0,1261.0,1220.0,1154.0,1276.0,1569.0,1628.0,1710.0,
    5.7.-Contra la propiedad intelectual/industrial,1.0,1.0,2.0,3.0,1.0,3.0,7.0,4.0,7.0,12.0,4.0,2.0,
    5.8.-Blanqueo de capitales,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,
    5.9.-Otros contra el patrimonio,273.0,239.0,216.0,219.0,148.0,157.0,275.0,226.0,195.0,149.0,130.0,121.0,
    6. SEGURIDAD COLECTIVA,303.0,261.0,302.0,309.0,224.0,215.0,200.0,201.0,238.0,351.0,290.0,287.0,
    6.1.-Tráfico de drogas,89.0,111.0,105.0,73.0,47.0,48.0,40.0,25.0,44.0,57.0,39.0,56.0,
    6.2.-Contra la seguridad vial,203.0,139.0,175.0,225.0,170.0,160.0,155.0,168.0,190.0,262.0,244.0,226.0,
    6.3.-Otros contra la seguridad colectiva,11.0,11.0,22.0,11.0,7.0,7.0,5.0,8.0,4.0,32.0,7.0,5.0,
    7. FALSEDADES,278.0,210.0,188.0,168.0,165.0,149.0,166.0,128.0,191.0,108.0,90.0,59.0,
    8. ADMÓN. PÚBLICA,1.0,5.0,3.0,3.0,4.0,11.0,13.0,19.0,10.0,13.0,0.0,6.0,
    9. ADMÓN. JUSTICIA,217.0,164.0,210.0,192.0,172.0,194.0,209.0,175.0,204.0,188.0,161.0,159.0,
    10. ORDEN PÚBLICO,221.0,280.0,130.0,144.0,136.0,116.0,157.0,208.0,193.0,300.0,315.0,346.0,
    11. LEGISLACIÓN ESPECIAL,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,
    12. OTRAS INFRACCIONES PENALES,72.0,91.0,62.0,77.0,66.0,88.0,76.0,58.0,55.0,69.0,50.0,51.0,
    TOTAL INFRACCIONES PENALES,11383.0,10641.0,13011.0,12781.0,12138.0,11854.0,12501.0,12640.0,13285.0,14062.0,14693.0,14948.0,
Albacete,
    1. CONTRA LAS PERSONAS,1316.0,1217.0,1458.0,1316.0,1304.0,1314.0,1632.0,2115.0,2070.0,2300.0,2241.0,2164.0,
    1.1.-Homicidios dolosos/asesinatos,14.0,4.0,3.0,10.0,11.0,4.0,5.0,10.0,8.0,11.0,2.0,8.0,
